ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon,c1998,c2008,c2015,n1998,n2008,n2015,d13C1998,d13C2008,d13C2015,pH1998,pH2008,pH2015,BD1998,BD2008,BD2015,CN1998,CN2008,CN2015
330,46.78248199993588,-117.0822430000039,20,30,Ap2-AB,1.3862,1.1466,1.1301841589223296,0.10191,0.11121,0.12056270781822832,,,-25.6224448,5.69,6.25,5.79,1.227474614154591,1.227474614154591,1.2077209450041464,13.602198017858896,10.310223900728351,9.374243324281514
330,46.78248199993588,-117.0822430000039,30,57,AB,0.70547,0.53663,0.6082243254696993,0.0747,0.06592,0.06599990582473984,,,-25.621839899999998,6.19,6.31,6.36,1.3136235698830752,1.3136235698830752,1.3136235698830752,9.444042838018742,8.140625,9.215533232499075
330,46.78248199993588,-117.0822430000039,57,92,Bw,0.45591,0.37825,0.3374041315990819,0.06009,0.04831,0.040013465952563124,,,-24.787401999999993,6.49,6.47,6.78,1.4324761139935527,1.4324761139935527,1.4324761139935527,7.587119321018473,7.829641896087766,8.432264578106835
330,46.78248199993588,-117.0822430000039,92,133,Bwb1,0.31913,0.34074,0.2732322302721754,0.03746,0.04649,0.03511024084589778,,,-24.621749099999995,6.62,6.68,7.18,1.4455423119081168,1.4455423119081168,1.4455423119081168,8.519220501868661,7.329318132931814,7.782123496999576
330,46.78248199993588,-117.0822430000039,133,153,Bwb2,0.34297,0.36618,0.3064297031067025,0.03657,0.05463,0.04858614038713233,,,-24.121264000000004,6.5,6.77,7.2,1.4020012510867337,1.4020012510867337,1.4020012510867337,9.378452283292317,6.702910488742449,6.3069365186261646
332,46.78242299993423,-117.0814069999997,0,10,Ap1,1.4963,2.834978125,1.6853102746693795,0.12692,0.19357437500000002,0.1517531366564937,,,-26.340557999999994,5.18,5.01,4.64,1.3046020534307754,1.1824855011727204,1.3246113943927873,11.789316104632839,14.645420526348076,11.105604218805865
332,46.78242299993423,-117.0814069999997,10,20,Ap2,1.2691,1.5948,1.3168294301697165,0.11996,0.14381,0.12285578837584145,,,-25.73756569999999,5.37,5.26,5.12,1.3046020534307754,1.3557264797090838,1.366956613793955,10.579359786595532,11.089632153535916,10.71849725257764
332,46.78242299993423,-117.0814069999997,20,30,Ap2-Bw1,1.0568,1.3687,1.1164429737480699,0.10877,0.12966,0.11041297154202516,,,-25.47762369999999,6,5.92,5.87,1.3046020534307754,1.3046020534307754,1.2999982356158584,9.715914314608806,10.556069720808269,10.111520033885979
332,46.78242299993423,-117.0814069999997,30,53,Bw1,0.59585,0.60083,0.9129669739987318,0.06578,0.07943,0.09550270744914388,,,-25.36105849999999,5.95,6.03,6.62,1.3919657588927281,1.3919657588927281,1.3919657588927281,9.05822438431134,7.564270426790885,9.559592585214357
332,46.78242299993423,-117.0814069999997,53,107,Bw2,0.41656,0.37647,0.3267924901837859,0.05749,0.05843,0.04016200877685023,,,-24.785621799999994,6.11,6.51,6.65,1.4834859208130684,1.4834859208130684,1.4834859208130684,7.245781875108714,6.44309430087284,8.136856201579047
332,46.78242299993423,-117.0814069999997,107,135,Bw3,0.33043,0.31133,0.27778892416775425,0.04586,0.05082,0.037480959152268345,,,-24.543876399999995,6.37,6.89,7.09,1.500115728232101,1.500115728232101,1.500115728232101,7.205189707806367,6.126131444313263,7.411467861300515
332,46.78242299993423,-117.0814069999997,135,153,Bwb,0.32539,0.34915,0.2554004447218538,0.05166,0.05256,0.03869860341733635,,,-24.2432443,6.24,6.95,7.23,1.5745853662658202,1.5745853662658202,1.5745853662658202,6.298683701122726,6.642884322678843,6.599732862903226
334,46.782280999927586,-117.08057100000387,0,10,Ap,1.9066,3.5500534351145037,2.526099749889658,0.15816,0.237956106870229,0.2012672257368447,,,-26.654250499999996,4.58,4.93,4.74,1.1370740857961315,0.9347072595101247,1.0533373326040547,12.054881133029845,14.91894232851334,12.550974162045208
334,46.782280999927586,-117.08057100000387,10,20,Ap,1.764,1.8535,1.8460274451533956,0.14524,0.16256,0.16570841709640763,,,-26.182459099999996,5.37,5.5,4.91,1.1370740857961315,1.2897096016504745,1.3075850874252342,12.145414486367391,11.401943897637794,11.140215310121476
334,46.782280999927586,-117.08057100000387,20,30,Ap-A,1.3634,1.4316,1.4504775174759117,0.12987,0.13559,0.1380441148686945,,,-25.514599299999997,6.39,6.27,6.03,1.1370740857961315,1.1370740857961315,1.2579176738359477,10.498190498190496,10.558300759643043,10.507347733408151
334,46.782280999927586,-117.08057100000387,30,43,A,1.0105,1.2896,1.1086807773013412,0.11142,0.13164,0.10563132925827934,,,-25.37035639999999,5.97,6.04,6.19,1.1854695472503631,1.1854695472503631,1.1854695472503631,9.069287381080596,9.796414463688848,10.495757130827199
334,46.782280999927586,-117.08057100000387,43,72,Bw1,0.43156,0.57812,0.5419720756862622,0.05267,0.07145,0.059457623906245066,,,-25.285642199999998,6.28,6.36,6.6,1.4391887918677897,1.4391887918677897,1.4391887918677897,8.193658629200684,8.091252624212736,9.11526630362598
334,46.782280999927586,-117.08057100000387,72,97,Bw2,0.35718,0.35721,0.32026609846138604,0.05624,0.05337,0.039143232328237666,,,-24.772191499999998,6.46,6.5,7.01,1.5555144266998702,1.5555144266998702,1.5555144266998702,6.35099573257468,6.693086003372682,8.181902193865279
334,46.782280999927586,-117.08057100000387,97,126,Bw3,0.30261,0.30928,0.25410317505342184,0.03934,0.04485,0.03336831754316295,,,-24.7442978,6.53,6.69,7.29,1.5870855844846528,1.5870855844846528,1.5870855844846528,7.692170818505338,6.8958751393534,7.615103000765068
334,46.782280999927586,-117.08057100000387,126,153,Btb,0.3329,0.29236,0.21341116636100663,0.04572,0.05137,0.033948497854077254,,,-24.2876676,6.55,6.71,7.39,1.6100580220365492,1.6100580220365492,1.6100580220365492,7.281277340332458,5.691259489974693,6.286321335286289
336,46.78251499993372,-117.07973500000217,0,10,Ap,2.2282,4.316206521739131,2.435726398559992,0.16624,0.2695710144927536,0.20447539197574718,,,-26.516431499999996,5.01,4.83,4.26,1.386976215799654,0.8120006617384826,1.2055154648270021,13.403512993262753,16.011389540009894,11.912075947255762
336,46.78251499993372,-117.07973500000217,10,20,Ap,2.3002,2.0293,1.809141135107986,0.1745,0.16331,0.16407533902561527,,,-26.022543499999998,5.12,5.29,5.09,1.386976215799654,1.434351497570003,1.3104963212590643,13.181661891117479,12.426060865837977,11.026283083440983
336,46.78251499993372,-117.07973500000217,20,30,Ap-AB,1.0658,1.9221,1.5912867647058824,0.11377,0.15656,0.1444685003631082,,,-26.0024718,5.79,5.41,5.59,1.386976215799654,1.386976215799654,1.3329922190659353,9.36802320471126,12.277082268778742,11.014766268815212
336,46.78251499993372,-117.07973500000217,30,48,AB,1.0194,0.97419,0.9032345796824848,0.10163,0.1065,0.08899323327838987,,,-25.130677199999994,5.78,5.76,6.2,1.2203656403597134,1.2203656403597134,1.2203656403597134,10.030502804290073,9.147323943661972,10.149474812955427
336,46.78251499993372,-117.07973500000217,48,90,Bw1,0.47765,0.4339,0.4169363511316744,0.06127,0.05903,0.04987057646617482,,,-25.030466499999996,5.97,6.14,6.56,1.4623313514044316,1.4623313514044316,1.4623313514044316,7.795821772482455,7.35049974589192,8.36036758898236
336,46.78251499993372,-117.07973500000217,90,120,Bw2,0.35111,0.33028,0.2252510533707865,0.03975,0.05158,0.03748497971285892,,,-24.5139165,6.22,6.45,6.85,1.5920086979050847,1.5920086979050847,1.5920086979050847,8.832955974842767,6.403257076386196,6.009101648080016
336,46.78251499993372,-117.07973500000217,120,153,Bwb,0.31632,0.31163,0.2759387519787372,0.05363,0.05259,0.04365768336297368,,,-24.2907669,6.34,6.42,6.94,1.640325553833799,1.640325553833799,1.640325553833799,5.8981913108334885,5.9256512644989545,6.320508344076781
338,46.78239454805346,-117.07889104753009,0,10,AP,2.2109,3.6654059701492536,2.443648986676196,0.17062,0.27081029850746263,0.2069773852672418,,,-26.560656999999992,4.98,4.49,4.84,1.2563805928440468,0.9296987180140581,1.2938228911198546,12.958035400304771,13.534957829708413,11.806357412047909
338,46.78239454805346,-117.07889104753009,10,20,Ap-A1,2.1006,2.0808,1.7214278552090643,0.16435,0.17892,0.14673719041411812,,,-26.0204933,4.9,4.85,5.06,1.2563805928440468,1.2563805928440468,1.3119960477795227,12.781259507149377,11.629778672032193,11.731367149329305
338,46.78239454805346,-117.07889104753009,20,30,A1-A2,2.029,2.0456,1.7014072748956472,0.15869,0.17259,0.14999449566533646,,,-25.62141769999999,5.07,5.32,5.7,1.2840381646759025,1.2840381646759025,1.2136316318788927,12.785934841514903,11.852366881047569,11.343131408580351
338,46.78239454805346,-117.07889104753009,30,60,A2,1.9274,1.5844,1.3318822734670064,0.16198,0.13967,0.11534805170878498,,,-25.24741749999999,5.26,5.52,6.07,1.266642387069787,1.266642387069787,1.266642387069787,11.898999876527965,11.343882007589318,11.546638662173168
338,46.78239454805346,-117.07889104753009,60,73,AB,,,0.8465933318763507,,,0.09809305262135452,,,-25.335230999999993,,,6.68,,,1.3743212752136733,,,8.630512653574511
338,46.78239454805346,-117.07889104753009,60,88,AB,1.1353,0.72772,,0.10189,0.07287,,,,,5.76,6.05,,1.3743212752136733,1.3743212752136733,,11.142408479733046,9.98655139289145,
338,46.78239454805346,-117.07889104753009,73,106,E/B,,,0.42065300119067084,,,0.045810940162958474,,,-25.319734499999996,,,6.73,,,1.5763927428407036,,,9.182369968708912
338,46.78239454805346,-117.07889104753009,88,125,E/B,0.40145,0.32594,,0.045469999999999997,0.03636,,,,,6.01,5.95,,1.5763927428407036,1.5763927428407036,,8.82889817462063,8.964246424642464,
338,46.78239454805346,-117.07889104753009,106,153,Bwb,,,0.24053822407148198,,,0.03395432669261596,,,-24.345521199999993,,,6.78,,,1.7071955561573962,,,7.084170045515637
338,46.78239454805346,-117.07889104753009,125,153,Bwb,0.3196,0.29527,,0.04148,0.03446,,,,,5.95,5.85,,1.7071955561573962,1.7071955561573962,,7.7049180327868845,8.568485200232153,
349,46.78272499993558,-117.08419899999996,0,10,Ap,2.3856,3.40154,2.3857774214561305,0.16607,0.24504755555555557,0.19827228541363934,,,-26.611053499999997,5.03,5.07,4.95,1.1825067896936226,0.9046754019913396,1.281,14.36502679592943,13.881142345159304,12.032833618066576
349,46.78272499993558,-117.08419899999996,10,20,Ap-A1,2.2647,1.9522,1.7606880637717643,0.16965,0.15026,0.1479404237465911,,,-26.011267399999994,4.99,5.21,4.83,1.3537322208489442,1.3537322208489442,1.352,13.34924845269673,12.992146945294822,11.90133176032852
349,46.78272499993558,-117.08419899999996,20,30,A1,1.8927,2.2327,1.6819181342217993,0.14697,0.17743,0.14214659685863873,,,-25.99733629999999,5.69,5.78,5.45,1.4408344132231565,1.4408344132231565,1.32,12.878138395590938,12.58355407766443,11.832278586974722
349,46.78272499993558,-117.08419899999996,30,34,A1,1.8927,1.8754,1.6542243447766705,0.14697,0.15774,0.14133397932816538,,,-25.771199199999998,5.69,5.18,5.56,1.3715848720967636,1.3498424937979843,1.3715848720967636,12.878138395590938,11.88918473437302,11.704364036448046
349,46.78272499993558,-117.08419899999996,34,68,A2,1.8288,1.1909,1.3180077735698625,0.14386,0.10662,0.12037206830110958,,,-25.482964299999992,5.55,5.97,6.32,1.2897779353086745,1.313669159960944,1.2897779353086745,12.712359238148201,11.169574188707559,10.949448590289888
349,46.78272499993558,-117.08419899999996,68,89,AB,1.0082,0.80066,0.8516592365222051,0.09646,0.08624,0.0860522789836537,,,-25.232954099999994,5.81,6.27,6.73,1.4092726538976472,1.4630719159677157,1.4092726538976472,10.452000829359319,9.28409090909091,9.896998040969773
