ID2,Latitude,Longitude,TopDepth,BottomDepth,Horizon1998,pH1998,Horizon2008,pH2008,Horizon2015,pH2015
45,46.779288328247844,-117.08746351328648,10,20,Ap,6.1,Ap-BA1,5.79,Ap-BA1,5.51
45,46.779288328247844,-117.08746351328648,20,30,Ap,6.83,BA1,7.04,BA1,6.94
45,46.779288328247844,-117.08746351328648,30,44,BA1,6.36,BA1,6.51,BA1,6.39
45,46.779288328247844,-117.08746351328648,44,69,BA2,6.59,BA2,7.76,BA2,7.55
45,46.779288328247844,-117.08746351328648,69,105,Bw1,6.89,Bw1,7.86,Bw1,7.96
45,46.779288328247844,-117.08746351328648,105,131,Bw2,7.01,Bw2,7.69,Bw2,8.03
45,46.779288328247844,-117.08746351328648,131,153,Bwb,6.83,Bwb,7.41,Bwb,8.04
47,46.779362999934584,-117.08664599999607,0,10,Ap,5.13,Ap,4.96,Ap,4.85
47,46.779362999934584,-117.08664599999607,10,20,Ap,5.28,Ap,5.25,Ap,4.77
47,46.779362999934584,-117.08664599999607,20,30,Ap,6.29,Ap-AB,6.41,AB,5.5
47,46.779362999934584,-117.08664599999607,30,53,AB,6.19,AB,0,AB,6.25
47,46.779362999934584,-117.08664599999607,53,90,Bw1,6.54,Bw1,0,Bw1,6.86
47,46.779362999934584,-117.08664599999607,90,124,Bw2,7.02,Bw2,0,Bw2,7.11
47,46.779362999934584,-117.08664599999607,124,153,Bwb,7.07,Bwb,0,Bwb,7.49
49,46.77923799992989,-117.08581000000254,0,10,Ap,5.31,Ap,5.11,Ap,4.84
49,46.77923799992989,-117.08581000000254,10,20,Ap,5.11,Ap,5.49,Ap,5.12
49,46.77923799992989,-117.08581000000254,20,30,Ap,6.1,Ap-A1,6.24,Ap-A1,5.77
49,46.77923799992989,-117.08581000000254,30,45,A1,6.09,A1,6.12,A1,6.26
49,46.77923799992989,-117.08581000000254,45,71,A2,6.36,A2,6.34,A2,6.63
49,46.77923799992989,-117.08581000000254,71,88,BE,6.66,BE,6.52,BE,6.92
49,46.77923799992989,-117.08581000000254,88,104,Bw1,6.65,Bw1,6.52,,
49,46.77923799992989,-117.08581000000254,104,136,Bw2,6.83,Bw2,6.73,,
49,46.77923799992989,-117.08581000000254,136,153,Bwb,6.62,Bwb,6.74,Bwb,7.27
49,46.77923799992989,-117.08581000000254,88,108,,,,,Bw1,7.16
49,46.77923799992989,-117.08581000000254,108,136,,,,,Bw2,7.09
51,46.77919681125739,-117.08496351312738,0,10,Ap,5.27,Ap,5.16,Ap,4.57
51,46.77919681125739,-117.08496351312738,10,20,Ap,5.81,Ap-AB,5.52,Ap-AB,5.07
51,46.77919681125739,-117.08496351312738,20,30,Ap,6.7,AB,6.66,AB,6.01
51,46.77919681125739,-117.08496351312738,30,46,AB,6.34,AB,5.64,AB,6.05
51,46.77919681125739,-117.08496351312738,46,71,BA,6.53,BA,6.22,BA,6.56
51,46.77919681125739,-117.08496351312738,71,93,Bw1,6.64,Bw1,6.43,Bw1,6.86
51,46.77919681125739,-117.08496351312738,93,131,Bw2,7.01,Bw2,6.65,Bw2,7.11
51,46.77919681125739,-117.08496351312738,131,153,Bwb,6.76,Bwb,6.89,Bwb,7.29
53,46.779245999934034,-117.08413800000389,0,10,Ap,5.37,Ap,5.13,Ap,4.88
53,46.779245999934034,-117.08413800000389,10,20,Ap,5.41,Ap-A,5.3,Ap-A,5.02
53,46.779245999934034,-117.08413800000389,20,30,Ap,6.57,A,6.5,A,6.18
53,46.779245999934034,-117.08413800000389,30,39,A,6.12,A,5.63,A,6.12
53,46.779245999934034,-117.08413800000389,39,70,AB,6.32,AB,6.32,AB,6.53
53,46.779245999934034,-117.08413800000389,70,84,EB,6.46,EB,6.62,,
53,46.779245999934034,-117.08413800000389,84,122,Btb,6.31,Btb,6.96,,
